epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.77787,1.4368,3.10345,1.25216,0.00779,0.63817,0.27781,0.17034,1.05427,3.11462,0.93169,0.00034296,0.00034296,0.00034296
2,11.1601,1.07897,1.51543,1.02931,0.00608,0.64263,0.35323,0.22476,1.12178,2.88739,1.03632,0.000693278,0.000693278,0.000693278
3,13.4708,1.02831,1.12973,1.01275,0.8384,0.37513,0.4452,0.27267,1.24051,2.16567,1.09387,0.00103652,0.00103652,0.00103652
4,15.7848,0.97995,1.05165,0.99837,0.7696,0.44012,0.51108,0.33038,1.23028,1.64514,1.10564,0.00137269,0.00137269,0.00137269
5,18.0862,0.98685,1.00288,1.0082,0.90722,0.52332,0.59471,0.39536,1.16914,1.0944,1.08533,0.00137241,0.00137241,0.00137241
6,20.3969,0.92523,0.9429,0.96456,0.84991,0.46887,0.54906,0.37268,1.08877,1.1454,1.04863,0.00135826,0.00135826,0.00135826
7,22.7049,0.93034,0.88454,0.97508,0.85084,0.51431,0.5742,0.35759,1.23036,1.10345,1.13888,0.00134412,0.00134412,0.00134412
8,25.0545,0.95892,0.87011,0.97885,0.92485,0.47969,0.57544,0.3789,1.14927,1.03591,1.07944,0.00132997,0.00132997,0.00132997
9,27.3702,0.90033,0.81913,0.96772,0.91661,0.5067,0.59169,0.39695,1.14396,1.01538,1.06824,0.00131582,0.00131582,0.00131582
10,29.7049,0.9266,0.82111,0.97329,0.94199,0.48264,0.5877,0.3993,1.14508,0.98661,1.08458,0.00130168,0.00130168,0.00130168
11,31.972,0.89632,0.79664,0.96407,0.9149,0.53461,0.60441,0.41972,1.07725,0.8515,1.0532,0.00128753,0.00128753,0.00128753
12,34.2372,0.88173,0.75425,0.9588,0.94121,0.5342,0.60534,0.40108,1.14756,0.83838,1.0815,0.00127338,0.00127338,0.00127338
13,36.4796,0.88808,0.75212,0.96127,0.90444,0.51915,0.5997,0.40124,1.14474,0.98227,1.08732,0.00125923,0.00125923,0.00125923
14,38.7694,0.86858,0.72643,0.95516,0.89614,0.51452,0.58846,0.40109,1.08183,0.93635,1.07962,0.00124509,0.00124509,0.00124509
15,41.1461,0.85483,0.72312,0.95511,0.94916,0.47963,0.63245,0.44159,1.02763,0.87549,1.02567,0.00123094,0.00123094,0.00123094
16,43.5109,0.84203,0.69365,0.94683,0.88825,0.56219,0.61678,0.434,1.02195,0.81993,1.02746,0.00121679,0.00121679,0.00121679
17,45.8624,0.83113,0.67358,0.95013,0.87299,0.55763,0.62636,0.43308,1.08026,0.84178,1.03896,0.00120265,0.00120265,0.00120265
18,48.2675,0.85371,0.65957,0.9499,0.92397,0.50929,0.6432,0.43202,1.11997,0.8695,1.07645,0.0011885,0.0011885,0.0011885
19,50.624,0.84116,0.67235,0.94798,0.90845,0.50272,0.75524,0.46776,1.11205,0.85861,1.085,0.00117435,0.00117435,0.00117435
20,52.9412,0.8445,0.67206,0.943,0.64804,0.66505,0.66365,0.45258,1.06855,0.80048,1.07273,0.00116021,0.00116021,0.00116021
21,55.2074,0.81489,0.64603,0.93523,0.84165,0.52009,0.59725,0.3988,1.1235,1.00064,1.09949,0.00114606,0.00114606,0.00114606
22,57.4882,0.80869,0.63295,0.95057,0.92403,0.53117,0.74378,0.51482,1.03179,0.79632,1.05374,0.00113191,0.00113191,0.00113191
23,59.7452,0.81931,0.64137,0.94791,0.70509,0.75444,0.71495,0.48944,1.01405,0.79526,1.04455,0.00111776,0.00111776,0.00111776
24,62.0492,0.80156,0.60481,0.93824,0.5873,0.68229,0.68083,0.46571,0.98252,0.7664,1.0185,0.00110362,0.00110362,0.00110362
25,64.3227,0.80485,0.61758,0.92963,0.66231,0.65674,0.70524,0.46,0.98511,0.80248,1.04004,0.00108947,0.00108947,0.00108947
26,66.6442,0.80274,0.5963,0.93367,0.86944,0.72377,0.77829,0.52203,0.97958,0.76447,1.01102,0.00107532,0.00107532,0.00107532
27,68.8432,0.7905,0.59329,0.933,0.90486,0.73215,0.79172,0.56398,1.01009,0.70066,1.02215,0.00106118,0.00106118,0.00106118
28,71.0812,0.80835,0.60464,0.92406,0.90824,0.73158,0.79434,0.54794,0.9387,0.67801,0.98796,0.00104703,0.00104703,0.00104703
29,73.2757,0.79659,0.58375,0.92602,0.95113,0.66528,0.79258,0.52327,0.99114,0.67375,1.02236,0.00103288,0.00103288,0.00103288
30,75.4962,0.78841,0.58024,0.93394,0.93308,0.67243,0.77379,0.5303,1.02993,0.77933,1.03541,0.00101873,0.00101873,0.00101873
31,77.6863,0.77521,0.56516,0.91459,0.91634,0.7309,0.78928,0.5409,0.9695,0.68495,1.02194,0.00100459,0.00100459,0.00100459
32,79.9108,0.81094,0.56548,0.93693,0.85981,0.75969,0.81045,0.54855,0.97488,0.64818,1.02265,0.00099044,0.00099044,0.00099044
33,82.147,0.77725,0.55546,0.92786,0.93808,0.67784,0.77524,0.53785,0.9693,0.73289,1.01867,0.000976293,0.000976293,0.000976293
34,84.3424,0.75675,0.53621,0.91492,0.91898,0.69831,0.79573,0.53361,0.99228,0.71316,1.02955,0.000962146,0.000962146,0.000962146
35,86.5572,0.75488,0.52366,0.91578,0.89951,0.71513,0.76503,0.5068,0.97737,0.7538,1.01389,0.000947999,0.000947999,0.000947999
36,88.772,0.76763,0.54281,0.91712,0.9189,0.69382,0.76123,0.4792,0.99696,0.79063,1.02431,0.000933851,0.000933851,0.000933851
37,90.9884,0.77827,0.52918,0.92091,0.93593,0.71238,0.79436,0.55801,0.97432,0.67645,1.02929,0.000919704,0.000919704,0.000919704
38,93.1776,0.76497,0.5484,0.91637,0.95179,0.74314,0.80767,0.56734,0.95545,0.60155,1.01652,0.000905557,0.000905557,0.000905557
39,95.389,0.75414,0.52222,0.91669,0.96031,0.72392,0.80751,0.57483,0.97048,0.59267,1.01549,0.00089141,0.00089141,0.00089141
40,97.6272,0.75893,0.51918,0.91505,0.91313,0.68375,0.79785,0.54902,1.03162,0.72472,1.05113,0.000877263,0.000877263,0.000877263
41,99.8066,0.74861,0.50075,0.91792,0.93291,0.77915,0.883,0.62669,0.95429,0.60257,1.00595,0.000863116,0.000863116,0.000863116
42,102.036,0.7571,0.50693,0.92281,0.87532,0.62993,0.80994,0.53997,1.014,0.66058,1.0372,0.000848969,0.000848969,0.000848969
43,104.224,0.73784,0.50424,0.91154,0.84408,0.80708,0.85465,0.58192,0.94398,0.62627,1.00045,0.000834822,0.000834822,0.000834822
44,106.447,0.74197,0.51556,0.91541,0.84726,0.8207,0.83903,0.59392,0.93886,0.60346,0.99715,0.000820675,0.000820675,0.000820675
45,108.642,0.71834,0.49516,0.91019,0.84607,0.81309,0.83658,0.57584,0.91281,0.61451,0.99108,0.000806528,0.000806528,0.000806528
46,110.846,0.71418,0.49143,0.90812,0.85436,0.81435,0.85853,0.58857,0.93545,0.61726,0.99332,0.00079238,0.00079238,0.00079238
47,113.174,0.73169,0.4939,0.9065,0.92226,0.79482,0.87285,0.5733,0.89933,0.68991,0.98625,0.000778233,0.000778233,0.000778233
48,115.513,0.72503,0.47638,0.9116,0.94275,0.83848,0.88523,0.58782,0.92381,0.58413,0.9905,0.000764086,0.000764086,0.000764086
49,117.78,0.72478,0.4836,0.90935,0.8874,0.8007,0.84382,0.58321,0.87996,0.56847,0.97424,0.000749939,0.000749939,0.000749939
50,120.162,0.71918,0.4905,0.90536,0.96906,0.80574,0.88068,0.57759,0.96713,0.58577,1.01524,0.000735792,0.000735792,0.000735792
51,122.541,0.71261,0.47985,0.91021,0.94623,0.81501,0.88819,0.59158,0.93801,0.54658,1.0017,0.000721645,0.000721645,0.000721645
52,124.925,0.73298,0.4943,0.91616,0.93712,0.80548,0.88084,0.58026,0.9623,0.58091,1.0112,0.000707498,0.000707498,0.000707498
53,127.192,0.71601,0.47812,0.9111,0.9573,0.79673,0.88309,0.57985,0.9214,0.59064,0.99591,0.000693351,0.000693351,0.000693351
54,129.443,0.71771,0.46683,0.90691,0.93725,0.81042,0.87334,0.56509,0.92578,0.6167,0.99325,0.000679204,0.000679204,0.000679204
55,131.695,0.69775,0.47209,0.90789,0.90221,0.81987,0.87022,0.59153,0.93982,0.62826,1.01045,0.000665057,0.000665057,0.000665057
56,133.955,0.70216,0.44869,0.90418,0.7879,0.8405,0.84225,0.56681,0.95451,0.67684,1.02184,0.000650909,0.000650909,0.000650909
57,136.205,0.70478,0.46211,0.90984,0.83329,0.85515,0.86571,0.62081,0.90967,0.55729,0.99694,0.000636762,0.000636762,0.000636762
58,138.511,0.69951,0.45411,0.89854,0.92272,0.83338,0.89317,0.59103,0.89202,0.5581,0.97928,0.000622615,0.000622615,0.000622615
59,140.776,0.69723,0.46756,0.90221,0.95557,0.78953,0.88685,0.612,0.90661,0.57391,0.9885,0.000608468,0.000608468,0.000608468
