epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.66529,2.08523,3.71517,1.86433,0.4383,0.44446,0.45704,0.28205,1.22162,1.78082,1.15385,0.00017148,0.00017148,0.00017148
2,8.86806,0.9727,1.10056,1.04517,0.87231,0.51422,0.55608,0.36861,1.07661,1.49226,1.06873,0.000353713,0.000353713,0.000353713
3,13.0833,0.93778,0.89574,1.04252,0.64782,0.40137,0.38566,0.23151,1.30558,3.62669,1.34507,0.000532268,0.000532268,0.000532268
4,17.2383,0.96759,0.85789,1.05309,0.88942,0.51502,0.6646,0.43919,1.15167,2.09145,1.20645,0.000707145,0.000707145,0.000707145
5,21.3488,0.9255,0.77532,1.05057,0.86414,0.54022,0.68343,0.44921,1.12676,2.29566,1.24562,0.000878343,0.000878343,0.000878343
6,25.504,0.9114,0.69744,1.04856,0.67353,0.36314,0.39278,0.24507,1.21161,2.59392,1.27092,0.00104586,0.00104586,0.00104586
7,29.5938,0.91187,0.74963,1.05352,0.91099,0.53332,0.63728,0.41181,1.12732,1.5106,1.21789,0.00120971,0.00120971,0.00120971
8,33.6921,0.87395,0.71046,1.04947,0.82622,0.59302,0.69919,0.43523,1.22275,1.17857,1.26495,0.00132997,0.00132997,0.00132997
9,37.7769,0.90477,0.69359,1.05103,0.8527,0.58476,0.67847,0.44757,1.18656,1.84237,1.27177,0.00131582,0.00131582,0.00131582
10,41.8726,0.88339,0.68699,1.04944,0.74979,0.59399,0.70401,0.45502,1.1469,1.33364,1.22507,0.00130168,0.00130168,0.00130168
11,45.9812,0.88298,0.67795,1.05125,0.92162,0.49709,0.74492,0.49469,1.09853,1.28166,1.19592,0.00128753,0.00128753,0.00128753
12,50.1304,0.88112,0.67884,1.04324,0.8407,0.59985,0.66508,0.43376,1.13409,1.58849,1.21187,0.00127338,0.00127338,0.00127338
13,54.2138,0.87594,0.65515,1.05058,0.88815,0.58501,0.74499,0.49554,1.08479,1.02617,1.18196,0.00125923,0.00125923,0.00125923
14,58.3311,0.83512,0.60102,1.023,0.81602,0.72734,0.7947,0.52039,1.02252,0.99938,1.11622,0.00124509,0.00124509,0.00124509
15,62.4287,0.85589,0.6347,1.03262,0.93065,0.69601,0.82896,0.53786,1.06012,0.90608,1.14344,0.00123094,0.00123094,0.00123094
16,66.5406,0.82446,0.6287,1.03413,0.91022,0.70447,0.79991,0.52601,1.01178,0.77189,1.09528,0.00121679,0.00121679,0.00121679
17,70.6131,0.84927,0.60812,1.02347,0.93245,0.6309,0.76541,0.52122,1.01327,0.67996,1.10104,0.00120265,0.00120265,0.00120265
18,74.7103,0.81897,0.57697,1.01995,0.92634,0.69129,0.82392,0.51793,1.05447,0.7063,1.10544,0.0011885,0.0011885,0.0011885
19,78.7911,0.81115,0.57811,1.01215,0.85163,0.85452,0.88412,0.58961,1.06289,0.64514,1.12149,0.00117435,0.00117435,0.00117435
20,82.8953,0.80227,0.56053,1.01286,0.84975,0.83157,0.8793,0.5894,1.05072,0.69375,1.12926,0.00116021,0.00116021,0.00116021
21,86.974,0.79627,0.5571,1.00916,0.81021,0.6912,0.77696,0.54254,1.05331,0.76218,1.14196,0.00114606,0.00114606,0.00114606
22,91.101,0.80313,0.5656,1.00287,0.9194,0.69962,0.85339,0.56976,1.08359,0.83206,1.12684,0.00113191,0.00113191,0.00113191
23,95.1689,0.78734,0.53451,1.00851,0.8907,0.84562,0.87238,0.56268,1.02202,0.72307,1.10811,0.00111776,0.00111776,0.00111776
24,99.2545,0.79946,0.55408,1.00618,0.80612,0.68481,0.71712,0.48187,1.14765,0.89215,1.18557,0.00110362,0.00110362,0.00110362
25,103.322,0.8258,0.55172,1.00748,0.89105,0.79423,0.85835,0.51683,1.12073,0.79957,1.14509,0.00108947,0.00108947,0.00108947
